top - 13:08:13 up 2 days,  3:34,  1 user,  load average: 0.71, 1.30, 1.15
Tasks: 394 total,   1 running, 393 sleeping,   0 stopped,   0 zombie
%Cpu(s):  9.0 us,  3.5 sy,  0.0 ni, 86.4 id,  0.0 wa,  0.0 hi,  1.0 si,  0.0 st
MiB Mem :  15767.8 total,    783.3 free,   5477.5 used,   9507.0 buff/cache
MiB Swap:  32768.0 total,  32765.5 free,      2.5 used.   8708.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    264 root      20   0       0      0      0 S   0.0   0.0   0:10.92 jbd2/nv+
    265 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    305 root      19  -1   69112  34376  32708 S   0.0   0.2   0:04.31 systemd+
    332 root      20   0   24948   7428   3900 S   0.0   0.0   0:01.33 systemd+
    412 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
    452 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ath10k_+
    453 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ath10k_+
    454 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ath10k_+
    456 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cryptd
    475 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    476 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    477 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 card0-c+
    520 root     -51   0       0      0      0 S   0.0   0.0   0:01.06 irq/142+
    679 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 USBC000+
    737 systemd+  20   0   25500  13876   9092 S   0.0   0.1   0:13.01 systemd+
    942 root      20   0    2548    764    700 S   0.0   0.0   0:02.81 acpid
    944 avahi     20   0   21100   6056   3284 S   0.0   0.0   7:09.49 avahi-d+
    945 root      20   0    8428   4476   4116 S   0.0   0.0   0:00.03 bluetoo+
    946 message+  20   0   34636   7248   4552 S   0.0   0.0   0:14.76 dbus-da+
    948 root      20   0  419956  22052  16484 S   0.0   0.1   0:38.56 Network+
    954 root      20   0   81908   3656   3304 S   0.0   0.0   0:05.54 irqbala+
    956 root      20   0   39680  20156  11528 S   0.0   0.1   0:00.12 network+
    960 root      20   0  260144  11932   7040 S   0.0   0.1   0:02.68 polkitd
    969 syslog    20   0  234536   5052   3480 S   0.0   0.0   0:01.22 rsyslogd
    974 root      20   0 1392992  40936  20312 S   0.0   0.3   0:11.49 snapd
    975 root      20   0   48960  13636  11604 S   0.0   0.1   0:00.23 sssd
    977 root      20   0  235604   5876   5320 S   0.0   0.0   0:00.01 switche+
    980 root      20   0  273908  10776   9768 S   0.0   0.1   8:09.96 thermald
    982 root      20   0  393648  12128   9800 S   0.0   0.1   0:00.21 udisksd
    985 root      20   0   14444   8496   7132 S   0.0   0.1   0:01.53 wpa_sup+
    996 avahi     20   0   18560    332      0 S   0.0   0.0   0:00.00 avahi-d+
   1008 root      20   0  315288  11436   9444 S   0.0   0.1   0:00.25 ModemMa+
   1044 jenkins   20   0 9988620 581928  32412 S   0.0   3.6   2:30.90 java
   1045 root      20   0   40884   5128   4652 S   0.0   0.0   0:00.00 oddjobd
   1047 root      20   0 1859372  73768  50600 S   0.0   0.5   0:38.75 dockerd
   1049 root      20   0 1714128  38784  16264 S   0.0   0.2   7:58.02 contain+
   1074 root      20   0  111828  22984  18448 S   0.0   0.1   0:02.52 sssd_be
   1091 _chrony   20   0   13024   2348   2036 S   0.0   0.0   0:01.22 chronyd
   1096 root      20   0   12188   5604   4760 S   0.0   0.0   0:00.00 sshd
   1097 _chrony   20   0    4864   2156   1948 S   0.0   0.0   0:00.00 chronyd
   1137 root      20   0   38144  13080  11328 S   0.0   0.1   0:00.66 sssd_pam
   1138 root      20   0   37576  12032  10540 S   0.0   0.1   0:00.64 sssd_ssh
   1139 root      20   0   37712  12520  10904 S   0.0   0.1   0:00.64 sssd_su+
   1140 root      20   0   78088  16144  13972 S   0.0   0.1   0:00.61 sssd_pac
   1166 root      20   0  246792   7576   6556 S   0.0   0.0   0:01.64 account+
   1168 root      20   0   18048   3088   2780 S   0.0   0.0   0:00.13 cron
   1173 root      20   0   25936   8280   7164 S   0.0   0.1   0:00.99 systemd+
   1209 colord    20   0  254804  14276   9028 S   0.0   0.1   0:00.29 colord
   1245 root      20   0  118172  22412  14348 S   0.0   0.1   0:00.06 unatten+
   1265 root      20   0  252412   9644   8176 S   0.0   0.1   0:06.51 upowerd
   1499 root      20   0 1797412  46352  32672 S   0.0   0.3   2:55.34 contain+
   1507 mongodb   20   0 1520708  99064  40924 S   0.0   0.6   6:38.43 mongod
   1513 whoopsie  20   0  326856  15524  13596 S   0.0   0.1   0:00.23 whoopsie
   1528 kernoops  20   0   11264    448      0 S   0.0   0.0   0:03.46 kernelo+
